Park Name,State,Latitude,Longitude
Capitol Reef National Park,UT,38.089600,-111.149910
Pinnacles National Park,CA,36.491508,-121.197243
Rocky Mountain National Park,CO,40.343182,-105.688103
Offshore Trap/Pot Waters Area,Western Atlantic Ocean,38.000000,-82.000000
Steller Sea Lion Protection Area,AL,57.466667,-153.433334
Pacific Remote Islands Marine National Monument,,16.736944,-169.523895
Danville Conservation Area,MO,38.865097,-91.504852
Sand Harbor State Park,NV,39.198364,-119.930984
White Sands National Park,NM,32.779720,-106.171669
Jackson Hole,WY,43.582767,-110.821999
Mojave National Preserve,CA,35.141689,-115.510399
Joshua Tree National Park,CA,33.881866,-115.900650
Buffalo National River,AR,35.985512,-92.757652
Hot Springs National Park,AR,34.521530,-93.042267
Kartchner Caverns State Park,AZ,31.837551,-110.347382
Navajo Nation Reservation,NM,36.075321,-109.196930
Sipsey Wilderness,AL,34.332035,-87.434799
Wrangell-St. Elias National Park & Preserve,AK,61.710445,-142.985687
Lake Clark National Park and Preserve,AK,60.412697,-154.323502
Katmai National Park and Preserve,AK,58.597813,-154.693756
Glacier Bay National Park and Preserve,AK,58.665806,-136.900208
Turtle Mountain,ND,48.852882,-99.803535
Odiorne Point State Park,NH,43.049023,-70.720192
Channel Islands National Park,CA,33.998028,-119.772949
Maplewood State Park,MN,46.520966,-95.951576
Bear Butte State Park,SD,44.475296,-103.424309
Okefenokee National Wildlife Refuge,GA,30.773230,-82.292732
Denali National Park and Preserve,AK,63.129887,-151.197418
Acadia National Park,ME,44.338974,-68.273430
Topanga State Park,CA,34.093182,-118.587318
Gates of the Arctic National Park and Preserve,AK,67.915199,-153.463730
Kaloko-Honokōhau National Historical Park,HI,19.678328,-156.020477
Pedernales Falls State Park,TX,30.308069,-98.257729
Whiskeytown National Recreation Area,CA,40.633495,-122.564247
Mesa Verde National Park,CO,37.230873,-108.461838
Mount Rainier National Park,WA,46.879967,-121.726906
Kenai Fjords National Park,AK,60.043777,-149.816360
Anahuac National Wildlife Refuge,TX,29.610300,-94.449081
Bandelier National Monument,NM,35.767288,-106.311607
Summit Bechtel Reserve,WV,37.916035,-81.123047
Yellowstone National Park,WY,44.427895,-110.588379
Rothrock State Forest,PA,40.720585,-77.826965
Great Smoky Mountains National Park,TN,35.611763,-83.489548
